任务名称,地址,截止日期,是否完成,状态,紧急否,网址,重要否
vivo面试 手写笔和键盘外设,"会议主题：张利顺-Android应用工程师面试会议时间：2024-12-19 16:00:00会议号：474849705会议密码：389293会议链接：https://meeting.tencent.com/dm/LgEjcSNnU9oG

https://m.zhipin.com/mpa/html/weijd/weijd-job/c139b9cc1dce29a11HB93Nu9F1JY?date8=20241212&sid=tosee_jd_e27a52aff6e64f9f1nZ92dS9&openWeapp=1&fromSource=2
",2024年12月19日 20:00 (GMT+8),No,已完成,No,,No
vivo 手机系统应用,"王倩楠 邀请您参加腾讯会议 会议主题：张利顺-Android-南京vivo 会议时间：2024/12/13 20:00-21:00 (GMT+08:00) 中国标准时间 - 北京
点击链接入会，或添加至会议列表： https://meeting.tencent.com/dm/tH67GYhL6vuh
#腾讯会议：101-481-660
复制该信息，打开手机腾讯会议即可参与


https://m.zhipin.com/mpa/html/weijd/weijd-job/4239faee65a4687c03R_2t27EFpW?date8=20241212&sid=tosee_jd_e27a52aff6e64f9f1nZ92dS9&openWeapp=1&fromSource=2

",2024年12月13日 20:00 (GMT+8) → 21:00,No,已完成,No,https://m.zhipin.com/mpa/html/weijd/weijd-job/4239faee65a4687c03R_2t27EFpW?date8=20241212&sid=tosee_jd_e27a52aff6e64f9f1nZ92dS9&openWeapp=1&fromSource=2,No
vivo面试，稳定性能,"邀请您参加腾讯会议 会议主题：Vivo-应用软件工程师-张利顺 会议时间：2024/12/16 20:00-21:00 (GMT+08:00) 中国标准时间 - 北京
点击链接入会，或添加至会议列表： https://meeting.tencent.com/dm/sCkqTwfEqK9M
#腾讯会议：600-942-959


https://m.zhipin.com/mpa/html/weijd/weijd-job/8d33866013dd978d03R40tu0FVZT?date8=20241212&sid=tosee_jd_e27a52aff6e64f9f1nZ92dS9&openWeapp=1&fromSource=2
",2024年12月16日 20:00 (GMT+8) → 21:00,No,已完成,No,,No
vivo面试 音乐客户端,"万声音乐 邀请您参加腾讯会议 会议主题：【线上深圳】张利顺安卓初试 会议时间：2024/12/20 14:00-14:30 (GMT+08:00) 中国标准时间 - 北京
点击链接入会，或添加至会议列表： https://meeting.tencent.com/dm/F2fZBsJiCDRt
#腾讯会议：945-910-673
复制该信息，打开手机腾讯会议即可参与

https://m.zhipin.com/mpa/html/weijd/weijd-job/9bacf68f493966e51HV909i7FlBZ?date8=20241213&sid=tosee_jd_e27a52aff6e64f9f1nZ92dS9&openWeapp=1&fromSource=2
",2024年12月20日 16:00 (GMT+8),No,还未开始,No,https://m.zhipin.com/mpa/html/weijd/weijd-job/9bacf68f493966e51HV909i7FlBZ?date8=20241213&sid=tosee_jd_e27a52aff6e64f9f1nZ92dS9&openWeapp=1&fromSource=2,No
"[今日头条](https://m.toutiao.com/is/iMHd9WYV/) 工作能力强的人,都会建立SOP - 今日头条",,,No,已完成,No,,No
,,,No,已完成,No,,No
"我能用滴答清单做什么？ ",,,No,还未开始,No,,No
短视频平台的负面影响,,,No,已完成,No,,No
坐魏国华的车一起去刘洋的酒店别墅,,2024年12月21日 14:00 (GMT+8),No,已完成,No,,No
影刀 爬虫,,,No,还未开始,No,,No
Vivo 相册外包二面,,2024年12月17日 20:00 (GMT+8),No,已完成,No,,No
扇贝网，线下面试,,2024年12月18日 10:15 (GMT+8),No,已完成,No,,No
vivo 相册 hr三面,,2024年12月19日 17:00 (GMT+8),No,已完成,No,,No
今天下午2点，乘坐T391到范家屯马市,,2024年12月19日 14:00 (GMT+8),No,已完成,No,,No
扇贝，父母,,,No,还未开始,No,,No
